Word 1,Word 2,Similarity
أسرة,تنظيم,0.625
ممارسة,مؤسسة,0.319
مناخ,تضاريس,0.369
ملاكمة,جولة,0.761
تقرير,كسب,0.363
كأس,مقال,0.24
أوبرا,صناعة,0.263
محامي,دليل,0.669
خبره,موسيقى,0.347
سلطعون,نبيذ,0.57
قتال,هزيمة,0.741
خصوبة,بيض,0.669
ربح,خسارة,0.763
خليوي,هاتف,0.781
شرب,سيارة,0.304
علامة,ركود,0.238
كوكب,نجم,0.845
أستاذ,خيار,0.031
حرب,قوات,0.813
نفسي,صحة,0.723
كلمة,تشابه,0.475
طائرة,سيارة,0.577
شرب,شفاه,0.596
بداية,مباراة,0.447
تصريح,اْنتاج,0.338
مستثمر,ربح,0.713
تأخير,أخبار,0.331
طائر,كركي,0.738
كوكب,فضاء,0.792
صورة,سطح,0.456
سكان,تنمية,0.375
تصريح,جهد,0.275
تحقيق,جهد,0.459
سفر,نشاط,0.5
أخلاق,أهمية,0.331
زجاج,معدن,0.556
وزير,حزب,0.663
معدات,صناع,0.591
طبيب,موظف,0.5
مال,عملة,0.904
فودكا,نبيذ,0.846
رئيس,وسام,0.3
أسقف,حاخام,0.669
نمر,نمر,1.0
الطقس,تكهن,0.834
تنس,مضرب,0.756
مطر,فيضان,0.603
طاقة,مختبر,0.509
كوكب,ناس,0.575
أستاذ,طبيب,0.662
مسلسل,الأوبرا,0.794
نمر,حديقة,0.587
عمدة,مكتب,0.634
سلام,مناخ,0.369
سائل,ماء,0.789
فندق,حجز,0.803
قطار,سيارة,0.631
صيف,جفاف,0.716
جوهرة,حلية,0.896
فيزياء,بروتون,0.812
مؤشر,قياس,0.425
لعب,فريق,0.769
نشر,انسحاب,0.588
حب,جنس,0.677
جنس,مساواة,0.641
مال,حيازة,0.729
فيديو,أرشيف,0.634
خزانة,ملابس,0.8
سابقة,مثال,0.585
دولار,دينار,0.778
سابقة,قانون,0.665
راهب,حكيم,0.5
مريخ,عالم,0.563
تسجيل,ترتيب,0.6
كأس,سائل,0.59
شارع,مكان,0.644
ديكور,جراءة,0.563
حياة,موت,0.788
حفظ,عالم,0.619
رافعة,تنفيذ,0.269
كأس,كيان,0.215
صيف,طبيعة,0.563
كوكب,مجرة,0.811
وتر,ابتسامة,0.054
مستهلك,طاقة,0.475
عرفات,جاكسون,0.25
سيارة,طيران,0.494
طعام,فاكهه,0.752
رحلة,سيارة,0.585
إدخال,تذكرة,0.769
ائتمان,معلومات,0.531
طير,ديك,0.71
مجلس,توصية,0.447
سرير,خزانة,0.672
مطر,عواصف,0.631
ترتيب,إقامة,0.541
فودكا,براندي,0.813
تصريح,أخبار,0.756
ملك,رخ,0.592
اسهم,سوق,0.808
مال,تشغيل,0.331
مخزون,قرص,0.131
كأس,طعام,0.5
كوكب,نجوم,0.806
محاولة,سلام,0.425
ساحل,تل,0.438
سبب,انفعال,0.231
نفسي,طبيب,0.642
موسيقى,مشروع,0.363
هارفارد,ييل,0.813
عمدة,مقابلة,0.325
نمر,ثديي,0.685
بلد,مواطن,0.731
أوبرا,الأداء,0.688
مستشفى,بنية,0.463
سيكولوجيا,عقل,0.769
شرب,الأذن,0.131
ملاحظة,معماري,0.438
فيلم,مسرح,0.792
شركة,اسهم,0.708
ملك,كرنب,0.023
ربح,تحذير,0.388
أسهم,بيض,0.181
القدس,فلسطين,0.765
مدرسة,مركز,0.344
كوكب,شمس,0.802
سمك,سلطعون,0.87
مجلة,رابطة,0.497
اخبار,تقرير,0.816
سجل,رقم,0.631
تأخير,عنصرية,0.119
مشكلة,تحدي,0.675
هاتف,اتصال,0.75
الاتجاه,مزج,0.225
تلفاز,فيلم,0.772
طالب,أستاذ,0.681
مئة,نسبه,0.738
مسرح,تاريخ,0.391
أسهم,عيش,0.373
مسؤولية,تأمين,0.703
كارثة,منطقة,0.625
كأس,مادة,0.192
نزاهة,مصلحة,0.516
شارع,أطفال,0.494
حجم,بارز,0.531
كأس,الأداة,0.292
سكرتير,برلمان,0.506
وزارة,ثقافة,0.469
دولار,عملة,0.922
حساب,محاسبات,0.844
بقالة,مال,0.594
أداة,تنفيذ,0.646
أقليات,سلام,0.369
محب,خصام,0.619
مال,دولار,0.842
سيكولوجيا,فرويد,0.821
سفر,رحلة,0.929
تلفاز,راديو,0.677
وضع,ختام,0.481
يوم,صيف,0.394
حكومة,أزمة,0.656
مخدرات,إيذاء,0.685
الحاسوب,انترنت,0.758
طعام,إعداد,0.622
بداية,سنة,0.406
مال,ملكية,0.757
دولار,خسائر,0.609
تعصب,تقدير,0.3
مال,سحب,0.688
أسهم,جاكوار,0.092
سابقة,معرفة,0.281
صنف,نوع,0.897
كرة,تنس,0.663
جلد,عين,0.622
فيزياء,كيمياء,0.735
شرطه,تحقيق,0.831
نمر,حيوان,0.562
خشب,غابة,0.773
أخلاق,زواج,0.369
مقبرة,غابة,0.208
ديك,رحلة,0.062
كحول,كيمياء,0.554
عرفات,الارهاب,0.765
ولد,صبي,0.883
خبز,زبدة,0.619
بنك,مال,0.812
مكسيك,برازيل,0.744
سلام,تأمين,0.294
عائد,حساب,0.648
معرض,تذكارات,0.531
فيلم,ناقد,0.673
عرفات,سلام,0.673
الطبيعة,البيئة,0.831
ذكي,طالب,0.462
إنتاج,طاقم,0.625
كأس,شئ,0.369
شقيق,راهب,0.627
الحاسوب,طابعة,0.762
نفسي,عيادة,0.658
مشكلة,مطار,0.238
مباراة,نصر,0.703
مال,غسل,0.565
إعدام,صف,0.525
مشاهد,متسلسل,0.297
مباراة,جولة,0.597
ساحل,غابة,0.315
الإعلام,كسب,0.288
طفل,ام,0.785
عمله,سوق,0.75
ماراثون,سباق,0.747
حاسوب,مختبر,0.678
متحف,مسرح,0.719
سلطعون,طعام,0.781
وادي,تضاريس,0.753
نشر,رحيل,0.425
طبيب,ممرضة,0.7
حياة,فترة,0.45
سيكولوجيا,نفسي,0.808
اّربعاء,أخبار,0.222
