Word 1,Word 2,Similarity (0-5),Nonsense (Optional)
المطلق,مراقب,,
بقوة,وصي,,
سوء,مريض,,
استخدامها,استغلال,,
أنشئ,تشكل,,
موسيقية,لحني,,
شهد,قطع,,
الإلكترونية,توكوفيرول,,
شائع,فرد,,
صغار,المقعدية,,
الإصدار,اتركها,,
انتخب,ملجأ,,
المركب,بسيط,,
سوق,تسويق,,
الحدودية,إحاطة,,
آخرين,مصادفة,,
ملحقة,التكنولوجية,,
اضافة,دمج,,
الأحماض,لاذع,,
سند,ضرب,,
الكم,كمية,,
المركز,اليسار,,
جديدا,طازج,,
أنشأت,فهم,,
المحليين,مسبار,,
رؤساء,قيادة,,
الحرام,دنس,,
شراء,اعجاب,,
بأنها,زرنيخ,,
مكعب,الإيمائي,,
الزمني,ساعة,,
جنوبا,رمز,,
بعيدة,تشجير,,
صورة,تصور,,
فوزه,أعرج,,
رؤية,مشهد,,
الغربية,الشرقية,,
بلده,مرحبا,,
التراث,وراثة,,
المشتركة,منقسم,,
ورق,غطاء,,
الرجل,براز,,
وأعلن,معلن,,
عرف,استعمال,,
أخضر,رصد,,
عربة,قحافة,,
الفائزة,منتصر,,
الفتى,ابنة,,
عرب,عربي,,
تشابه,ضمان,,
لون,دعم,,
الشخصي,تشكل,,
الآلية,تنفيذ,,
المختلفة,حضن,,
العيش,مسجل,,
نقدية,محطة,,
يتحدث,حديث,,
نشر,منشور,,
