Word 1,Word 2,Similarity (0-5),Nonsense (Optional),
بشكلٍ,تنظم,0,,
سلطنة,بلد,1,,
تكامل,فصل,5,,
القلعة,اذهب,0,,
التحقق,تأكيد,3,,
التوراة,توراة,5,,
فيلق,مضيف,0,,
الدوار,شريط,0,,
تاء,خمسة,0,,
حمص,شواء,0,,
موانئ,خمر,0,,
الاتحادية,صحيح,0,,
يشير,بطلان,0,,
رجل,مدني,1,,
ويبدأ,النهاية,5,,
كلمات,غنائية,2,,
بوي,ابن,,Y,boy?
سبحانه,ألوهية,4,,
المنخفضة,ارتفاع,5,,
نار,مصطنع,0,,
الأمامية,بحث,0,,
اجتماعي,انطوائي,5,,
نابليون,بونابرت,5,,Napoleon Bonaparte
السيف,شفرة,0,,
السد,منع,5,,
تمثيل,تفويض,3,,
تتناول,عنوان,0,,
كامل,فارغة,5,,
نوعية,الاختيار,0,,
حنان,وجع,2,,
سويدية,الشمال,0,,
مصالح,تجويف,0,,
الحق,مركز,0,,
الكامل,انصرف,0,,
الشكل,أرض,0,,
مصدر,بالوعة,3,,
عبرية,عبري,5,,
الدواء,جرعة,3,,
ردود,إجابة,5,,
القديمة,جديد,5,,
اليسرى,نخبة,0,,
يصل,تأتي,4,,
الواسعة,اختيار,0,,
أفضل,أسوأ,5,,
بقيادة,الصمام,0,,
خسائر,المكاسب,5,,
الانتباه,حضور,3,,
